counterpart_name,entity_name,category,value,value_annotation
France,Indonesia,private,3863975041.7,US$3.9 billion
Canada,"Iran, Islamic Rep.",bilateral,5649965.2,US$5.6 million
China,"Iran, Islamic Rep.",bilateral,6073000.0,US$6.1 million
India,"Iran, Islamic Rep.",bilateral,21706768.7,US$21.7 million
World Bank-IBRD                         ,"Iran, Islamic Rep.",multilateral,124094000.0,US$124.1 million
Italy,"Iran, Islamic Rep.",private,20564787.2,US$20.6 million
ECO Trade and Dev. Bank,"Iran, Islamic Rep.",multilateral,33690488.1,US$33.7 million
"Germany, Fed. Rep. of","Iran, Islamic Rep.",private,102436578.9,US$102.4 million
Russian Federation,"Iran, Islamic Rep.",bilateral,4552459.8,US$4.6 million
France,"Iran, Islamic Rep.",private,1706912.7,US$1.7 million
Japan,"Iran, Islamic Rep.",bilateral,3013086.5,US$3.0 million
Croatia,Iraq,private,5629000.0,US$5.6 million
World Bank-IDA                         ,Iraq,multilateral,203054000.0,US$203.1 million
International Fund for Agricultural Dev.,Iraq,multilateral,0.0,US$0
Indonesia,Iraq,bilateral,193000.0,"US$193,000"
Malaysia,Iraq,bilateral,268000.0,"US$268,000"
Bahrain,Iraq,private,96125000.0,US$96.1 million
Austria,Iraq,bilateral,106386476.7,US$106.4 million
Spain,Iraq,bilateral,31504000.0,US$31.5 million
Czechia,Iraq,private,43611000.0,US$43.6 million
"Germany, Fed. Rep. of",Iraq,bilateral,533594623.5,US$533.6 million
Switzerland,Iraq,bilateral,32576187.7,US$32.6 million
United States,Iraq,private,3515000.0,US$3.5 million
Czechia,Iraq,bilateral,15292000.0,US$15.3 million
United Kingdom,Iraq,private,670130928.9,US$670.1 million
China,Iraq,bilateral,410868000.0,US$410.9 million
United Kingdom,Iraq,bilateral,130268000.0,US$130.3 million
Belgium,Iraq,bilateral,20528000.0,US$20.5 million
South Africa,Iraq,bilateral,8877000.0,US$8.9 million
Greece,Iraq,private,7769000.0,US$7.8 million
Greece,Iraq,bilateral,94639000.0,US$94.6 million
