counterpart_name,entity_name,category,value,value_annotation
European Investment Bank,Jordan,multilateral,185306737.6,US$185.3 million
Arab Monetary Fund,Jordan,multilateral,247892631.7,US$247.9 million
World Bank-IDA                         ,Jordan,multilateral,194032000.0,US$194.0 million
European Bank for Reconstruction and Dev. (EBRD),Jordan,multilateral,270238238.2,US$270.2 million
Qatar,Jordan,private,240000000.0,US$240 million
"Iran, Islamic Republic Of",Jordan,bilateral,16877000.0,US$16.9 million
United States,Jordan,bilateral,9738000.0,US$9.7 million
European Social Fund (ESF),Jordan,multilateral,207780000.0,US$207.8 million
Iraq,Jordan,bilateral,243.1,US$243
Saudi Arabia,Jordan,bilateral,242913866.7,US$242.9 million
European Union,Jordan,multilateral,727230000.0,US$727.2 million
International Fund for Agricultural Dev.,Jordan,multilateral,20157043.9,US$20.2 million
World Bank-IBRD                         ,Jordan,multilateral,5228000000.0,US$5.2 billion
Islamic Dev. Bank,Jordan,multilateral,294207573.7,US$294.2 million
United Arab Emirates,Jordan,bilateral,283751000.0,US$283.8 million
Spain,Jordan,bilateral,33693904.1,US$33.7 million
European Development Fund (EDF),Jordan,multilateral,187002000.0,US$187.0 million
Switzerland,Jordan,private,2741757.0,US$2.7 million
Kuwait,Jordan,bilateral,394229582.7,US$394.2 million
China,Jordan,bilateral,56460048.3,US$56.5 million
OPEC Fund for International Dev.,Jordan,multilateral,271763000.0,US$271.8 million
Bondholders,Jordan,private,10450000000.0,US$10.4 billion
Italy,Jordan,private,3948858.9,US$3.9 million
France,Jordan,bilateral,1018892277.2,US$1.0 billion
France,Jordan,private,50403272.4,US$50.4 million
Canada,Jordan,bilateral,75156576.2,US$75.2 million
Arab Fund for Economic & Social Development,Jordan,multilateral,453097530.1,US$453.1 million
United States,Jordan,private,14487000.0,US$14.5 million
Asian Infrastructure Investment Bank,Jordan,multilateral,255224000.0,US$255.2 million
Italy,Jordan,bilateral,113760588.9,US$113.8 million
Kuwait,Kazakhstan,bilateral,357200.8,"US$357,201"
World Bank-IBRD                         ,Kazakhstan,multilateral,3831067000.0,US$3.8 billion
Multiple Lenders,Kazakhstan,private,7618479000.0,US$7.6 billion
Japan,Kazakhstan,bilateral,158014682.4,US$158.0 million
Islamic Dev. Bank,Kazakhstan,multilateral,124019939.8,US$124.0 million
China,Kazakhstan,bilateral,1895803277.1,US$1.9 billion
Asian Infrastructure Investment Bank,Kazakhstan,multilateral,876945748.1,US$876.9 million
Bondholders,Kazakhstan,private,15825687274.8,US$15.8 billion
"Germany, Fed. Rep. of",Kazakhstan,bilateral,5166449.7,US$5.2 million
European Bank for Reconstruction and Dev. (EBRD),Kazakhstan,multilateral,1838497810.4,US$1.8 billion
Asian Dev. Bank   ,Kazakhstan,multilateral,1857791000.0,US$1.9 billion
"Germany, Fed. Rep. of",Kenya,private,32273428.5,US$32.3 million
Belgium,Kenya,bilateral,84117655.2,US$84.1 million
Japan,Kenya,bilateral,1166466645.4,US$1.2 billion
European Investment Bank,Kenya,multilateral,188757741.0,US$188.8 million
"Germany, Fed. Rep. of",Kenya,bilateral,330883872.7,US$330.9 million
African Export-Import Bank,Kenya,multilateral,279022567.5,US$279.0 million
South Africa,Kenya,private,194925700.0,US$194.9 million
Spain,Kenya,private,11611785.3,US$11.6 million
Nordic Investment Bank,Kenya,multilateral,8311200.0,US$8.3 million
Spain,Kenya,bilateral,86247281.2,US$86.2 million
World Bank-IBRD                         ,Kenya,multilateral,1947156000.0,US$1.9 billion
African Dev. Bank         ,Kenya,multilateral,3892767530.0,US$3.9 billion
OPEC Fund for International Dev.,Kenya,multilateral,21555000.0,US$21.6 million
France,Kenya,private,12847037.4,US$12.8 million
Eastern & Southern African Trade & Dev. Bank (TDB),Kenya,multilateral,1432372816.7,US$1.4 billion
France,Kenya,bilateral,742253602.9,US$742.3 million
Kuwait,Kenya,bilateral,10641337.9,US$10.6 million
Belgium,Kenya,private,87779777.7,US$87.8 million
Bondholders,Kenya,private,6600000000.0,US$6.6 billion
Denmark,Kenya,bilateral,1408251.6,US$1.4 million
Finland,Kenya,bilateral,1234213.2,US$1.2 million
"Korea, Republic of",Kenya,bilateral,64918957.2,US$64.9 million
World Bank-IDA                         ,Kenya,multilateral,11872969000.0,US$11.9 billion
Switzerland,Kenya,private,69526134.6,US$69.5 million
United Arab Emirates,Kenya,bilateral,7165146.3,US$7.2 million
Hungary,Kenya,bilateral,2548000.0,US$2.5 million
Arab Bank for Economic Dev. in Africa (BADEA),Kenya,multilateral,44292000.0,US$44.3 million
European Economic Community (EEC),Kenya,multilateral,5978869.5,US$6.0 million
Netherlands,Kenya,private,16823946.6,US$16.8 million
Arab African International Bank,Kenya,multilateral,8716000.0,US$8.7 million
Austria,Kenya,bilateral,2291813.4,US$2.3 million
Israel,Kenya,private,8801000.0,US$8.8 million
Saudi Arabia,Kenya,bilateral,25136266.7,US$25.1 million
United Kingdom,Kenya,private,52714117.6,US$52.7 million
International Fund for Agricultural Dev.,Kenya,multilateral,279485695.0,US$279.5 million
United States,Kenya,bilateral,5170000.0,US$5.2 million
