counterpart_name,entity_name,category,value
Multiple Lenders,Low & middle income,other private,7682439876.0
Peru,Low & middle income,bilateral,16563000.0
Peru,Low & middle income,commercial banks,53000000.0
Plata Basin Financial Dev. Fund,Low & middle income,multilateral,1757805653.9
Poland,Low & middle income,bilateral,466510884.1
Poland,Low & middle income,other private,7491865.1
Belarus,Low & middle income,bilateral,35093315.2
Portugal,Low & middle income,bilateral,1002934087.4
Portugal,Low & middle income,commercial banks,1002774676.6
Portugal,Low & middle income,other private,32501899.2
Qatar,Low & middle income,bilateral,91599500.0
Qatar,Low & middle income,commercial banks,240000000.0
Barbados,Low & middle income,commercial banks,582222.2
Barbados,Low & middle income,bilateral,3355000.0
Romania,Low & middle income,bilateral,270882000.0
Romania,Low & middle income,other private,6450000.0
Bahrain,Low & middle income,other private,0.0
Bahrain,Low & middle income,commercial banks,1537628517.4
Russian Federation,Low & middle income,bilateral,32122507497.5
Bahamas,Low & middle income,commercial banks,750000.0
Russian Federation,Low & middle income,commercial banks,420159932.6
Russian Federation,Low & middle income,other private,8068000.0
Azerbaijan,Low & middle income,bilateral,1151000.0
Saudi Arabia,Low & middle income,bilateral,20178362906.2
Panama,Low & middle income,other private,0.0
Saudi Arabia,Low & middle income,commercial banks,16560000.0
Panama,Low & middle income,commercial banks,81275000.0
Belgium,Low & middle income,commercial banks,1379819934.6
Multiple Lenders,Low & middle income,commercial banks,198079790331.7
Multiple Lenders,Low & middle income,multilateral,825522010.8
Namibia,Low & middle income,bilateral,1146769.0
Netherlands,Low & middle income,bilateral,591238370.1
Netherlands,Low & middle income,commercial banks,1955590455.8
Bondholders,Low & middle income,bonds,1637230691530.6
Netherlands,Low & middle income,other private,72801990268.8
New Development Bank (NDB),Low & middle income,multilateral,10697646350.0
Nigeria,Low & middle income,bilateral,11293290.3
Nordic Development Fund,Low & middle income,multilateral,508864958.2
Nordic Environment Finance Corporation (NEFCO),Low & middle income,multilateral,3479772.4
Bolivarian Alliance for the Americas (ALBA),Low & middle income,multilateral,50848000.0
Benin,Low & middle income,bilateral,68245.6
Nordic Investment Bank,Low & middle income,multilateral,40106507.5
Belize,Low & middle income,bilateral,1000000.0
Norway,Low & middle income,bilateral,445185687.4
Norway,Low & middle income,commercial banks,11396733.0
Norway,Low & middle income,other private,0.0
OPEC Fund for International Dev.,Low & middle income,multilateral,5430128318.0
Oman,Low & middle income,bilateral,89507000.0
Org. of Arab Petroleum Exporting Countries (OAPEC),Low & middle income,multilateral,35580000.0
Pakistan,Low & middle income,bilateral,14298000.0
Belgium,Low & middle income,other private,29769842.3
Belgium,Low & middle income,bilateral,638552640.4
Multiple Lenders,Low & middle income,bilateral,18875220249.3
Saudi Arabia,Low & middle income,other private,2500000.0
Serbia,Low & middle income,bilateral,541961620.8
Switzerland,Low & middle income,commercial banks,4685369461.7
Switzerland,Low & middle income,other private,23612489.5
Tanzania,Low & middle income,bilateral,35157000.0
Thailand,Low & middle income,bilateral,757776063.4
Thailand,Low & middle income,commercial banks,12647000.0
Thailand,Low & middle income,other private,0.0
Asian Dev. Bank   ,Low & middle income,multilateral,149192461000.0
Togo,Low & middle income,commercial banks,46533412.7
Trinidad & Tobago,Low & middle income,bilateral,37680146.4
Trinidad & Tobago,Low & middle income,commercial banks,0.0
Trinidad & Tobago,Low & middle income,other private,3505185.2
Armenia,Low & middle income,bilateral,1015000.0
Turkiye,Low & middle income,bilateral,879167336.1
Turkiye,Low & middle income,other private,19447169.1
Argentina,Low & middle income,bilateral,10408000.0
Turkmenistan,Low & middle income,bilateral,211000.0
UN-General Assembly (UNGA),Low & middle income,multilateral,3571000.0
UN-Population Fund (UNFPA),Low & middle income,multilateral,84615000.0
Arab Towns Organization (ATO),Low & middle income,multilateral,207825.9
Uganda,Low & middle income,other private,681000.0
Arab Monetary Fund,Low & middle income,multilateral,2676086161.1
Arab Fund for Economic & Social Development,Low & middle income,multilateral,9137828402.3
United Arab Emirates,Low & middle income,bilateral,7813881653.1
Switzerland,Low & middle income,bilateral,290319051.3
Senegal,Low & middle income,bilateral,240.7
Sweden,Low & middle income,other private,170974019.7
Sweden,Low & middle income,bilateral,2355340416.7
Serbia,Low & middle income,commercial banks,201179000.0
Serbia,Low & middle income,other private,59812214.9
Singapore,Low & middle income,commercial banks,8918253464.5
Singapore,Low & middle income,other private,27540000.0
Austria,Low & middle income,other private,1419118.7
