counterpart_name,entity_name,category,value
Austria,Low & middle income,commercial banks,8549497758.3
Austria,Low & middle income,bilateral,617092565.0
Slovenia,Low & middle income,commercial banks,0.0
South Africa,Low & middle income,bilateral,609546489.3
South Africa,Low & middle income,commercial banks,2714891764.6
South Africa,Low & middle income,other private,6096000.0
South Asian Development Fund (SADF),Low & middle income,multilateral,7222000.0
Australia,Low & middle income,other private,18074000.0
Australia,Low & middle income,commercial banks,101915281.0
Australia,Low & middle income,bilateral,2770175411.1
Spain,Low & middle income,bilateral,2952526574.5
Spain,Low & middle income,commercial banks,2293094551.0
Spain,Low & middle income,other private,50969290.9
Sri Lanka,Low & middle income,other private,63106000.0
St. Kitts And Nevis,Low & middle income,commercial banks,0.0
St. Lucia,Low & middle income,commercial banks,336296.3
St. Vincent & The Grenadines,Low & middle income,commercial banks,0.0
Asian Infrastructure Investment Bank,Low & middle income,multilateral,22261485968.9
Sweden,Low & middle income,commercial banks,57684696.5
Bosnia-Herzegovina,Low & middle income,other private,28444000.0
Brazil,Low & middle income,bilateral,703952000.0
Brazil,Low & middle income,commercial banks,120421000.0
Greece,Low & middle income,bilateral,96793590.2
Greece,Low & middle income,other private,8215000.0
Grenada,Low & middle income,commercial banks,0.0
Guyana,Low & middle income,commercial banks,948000.0
Honduras,Low & middle income,bilateral,118637000.0
Honduras,Low & middle income,commercial banks,22059000.0
Czechia,Low & middle income,commercial banks,476295188.7
Czechia,Low & middle income,bilateral,393560662.7
Hong Kong,Low & middle income,commercial banks,6715044046.8
Hong Kong,Low & middle income,other private,304841000.0
Hungary,Low & middle income,bilateral,1814423781.7
Hungary,Low & middle income,other private,5783000.0
Croatia,Low & middle income,other private,5629000.0
Croatia,Low & middle income,bilateral,39903000.0
Council of Europe,Low & middle income,multilateral,2893367955.0
India,Low & middle income,bilateral,13745202381.9
India,Low & middle income,other private,19772264.9
Indonesia,Low & middle income,bilateral,193000.0
"Cote D`Ivoire, Republic Of",Low & middle income,other private,20000000.0
"Cote D`Ivoire, Republic Of",Low & middle income,commercial banks,622562134.9
"Cote D`Ivoire, Republic Of",Low & middle income,bilateral,46722094.7
Inter-American Dev. Bank      ,Low & middle income,multilateral,95886700000.0
International Bank for Economic Cooperation (IBEC),Low & middle income,multilateral,0.0
"Germany, Fed. Rep. of",Low & middle income,other private,210790732.2
Costa Rica,Low & middle income,bilateral,315316000.0
"Germany, Fed. Rep. of",Low & middle income,commercial banks,12095718594.0
Denmark,Low & middle income,bilateral,517853181.1
European Development Fund (EDF),Low & middle income,multilateral,914854774.0
European Investment Bank,Low & middle income,multilateral,31865773899.7
European Relief Fund,Low & middle income,multilateral,1049289000.0
European Social Fund (ESF),Low & middle income,multilateral,586978500.0
European Bank for Reconstruction and Dev. (EBRD),Low & middle income,multilateral,10607739683.8
European Union,Low & middle income,multilateral,47554239790.5
Finland,Low & middle income,bilateral,203815684.8
Finland,Low & middle income,commercial banks,35008511.9
Finland,Low & middle income,other private,5667000.0
Eurasian Development Bank,Low & middle income,multilateral,2479891164.4
Equatorial Guinea,Low & middle income,bilateral,30092063.9
Egypt,Low & middle income,other private,76632000.0
Egypt,Low & middle income,bilateral,187736000.0
Economic Community of West African States (ECOWAS),Low & middle income,multilateral,755032372.7
Eastern & Southern African Trade & Dev. Bank (TDB),Low & middle income,multilateral,2234218793.4
EUROFIMA,Low & middle income,multilateral,1687173.6
France,Low & middle income,bilateral,37710730801.0
France,Low & middle income,commercial banks,16058395238.2
France,Low & middle income,other private,1356858487.1
ECO Trade and Dev. Bank,Low & middle income,multilateral,156698363.1
Dev. Bank of the Central African States (BDEAC),Low & middle income,multilateral,390085257.2
Denmark,Low & middle income,other private,0.0
Denmark,Low & middle income,commercial banks,361592093.8
"Germany, Fed. Rep. of",Low & middle income,bilateral,30152736270.5
International Finance Corporation,Low & middle income,multilateral,584605162.8
Corporacion Andina de Fomento,Low & middle income,multilateral,22542704811.0
"Congo, Rep.",Low & middle income,bilateral,89167790.3
Caribbean Community (CARICOM),Low & middle income,multilateral,14921000.0
"Korea, Republic of",Low & middle income,bilateral,9599106755.6
"Korea, Republic of",Low & middle income,commercial banks,18562000.0
"Korea, Republic of",Low & middle income,other private,190564859.2
Canada,Low & middle income,commercial banks,265520000.0
Canada,Low & middle income,bilateral,6254857629.1
Kuwait,Low & middle income,bilateral,12845091825.5
Kuwait,Low & middle income,commercial banks,329346831.4
Kuwait,Low & middle income,other private,4023380.4
Liberia,Low & middle income,commercial banks,807395.3
Cameroon,Low & middle income,bilateral,22626089.9
Libya,Low & middle income,bilateral,1113172532.7
Luxembourg,Low & middle income,commercial banks,570152682.6
Luxembourg,Low & middle income,other private,30763906.8
Bulgaria,Low & middle income,commercial banks,104539312.5
Bulgaria,Low & middle income,bilateral,91809000.0
Malaysia,Low & middle income,bilateral,83207932.3
Malaysia,Low & middle income,commercial banks,50000000.0
Mali,Low & middle income,bilateral,53.8
Mauritius,Low & middle income,commercial banks,100059545.9
Montenegro,Low & middle income,commercial banks,10389.0
Morocco,Low & middle income,bilateral,7000000.0
Morocco,Low & middle income,commercial banks,0.0
Caribbean Dev. Bank,Low & middle income,multilateral,1139800330.7
"Korea, D.P.R. of",Low & middle income,bilateral,0.0
Kazakhstan,Low & middle income,bilateral,1252000.0
Cayman Islands,Low & middle income,commercial banks,3417928721.4
Colombia,Low & middle income,other private,308000000.0
International Fund for Agricultural Dev.,Low & middle income,multilateral,7855009510.5
"Iran, Islamic Republic Of",Low & middle income,bilateral,291106654.0
Iraq,Low & middle income,bilateral,394171985.6
Ireland,Low & middle income,bilateral,1643460.6
Ireland,Low & middle income,commercial banks,2489562000.0
Ireland,Low & middle income,other private,90049471.6
Islamic Dev. Bank,Low & middle income,multilateral,18937455478.8
Islamic Solidarity Fund for Dev. (ISFD),Low & middle income,multilateral,18718516.0
Israel,Low & middle income,bilateral,2996815.4
Israel,Low & middle income,commercial banks,1511119271.7
United Arab Emirates,Low & middle income,commercial banks,6020754473.9
Israel,Low & middle income,other private,2739075000.0
China,Low & middle income,commercial banks,19453131986.2
China,Low & middle income,bilateral,147554187164.3
Italy,Low & middle income,bilateral,3089522956.9
Italy,Low & middle income,commercial banks,2881484473.3
Italy,Low & middle income,other private,121424707.0
Chad,Low & middle income,bilateral,372.2
Central Bank of West African States (BCEAO),Low & middle income,multilateral,308906085.0
Central American Bank for Econ. Integration (BCIE),Low & middle income,multilateral,9594806206.3
Japan,Low & middle income,bilateral,105904619944.4
Japan,Low & middle income,commercial banks,7508454900.2
Japan,Low & middle income,other private,446009000.3
China,Low & middle income,other private,2939870538.5
United Arab Emirates,Low & middle income,other private,294582926.2
European Economic Community (EEC),Low & middle income,multilateral,34256034.9
Algeria,Low & middle income,bilateral,788314377.3
Arab African International Bank,Low & middle income,multilateral,31149000.0
United States,Low & middle income,other private,423124746.1
United States,Low & middle income,commercial banks,23806011279.1
United States,Low & middle income,bilateral,3069004478.2
"Venezuela, Republic Bolivarian",Low & middle income,bilateral,665341259.3
African Dev. Bank         ,Low & middle income,multilateral,47102010713.1
World Bank-IBRD                         ,Low & middle income,multilateral,253755222000.0
African Export-Import Bank,Low & middle income,multilateral,10346941126.1
United Kingdom,Low & middle income,other private,1150980930.0
Angola,Low & middle income,bilateral,400478000.0
World Bank-IDA                         ,Low & middle income,multilateral,209337619000.0
Arab Bank for Economic Dev. in Africa (BADEA),Low & middle income,multilateral,2270352969.1
Arab Bank for Economic Dev. in Africa (BADEA),Low & middle income,commercial banks,0.0
Africa Finance Corporation,Low & middle income,commercial banks,1222875733.0
World Bank-MIGA,Low & middle income,multilateral,302270032.8
Viet Nam,Low & middle income,bilateral,121641000.0
United Kingdom,Low & middle income,bilateral,1244677807.4
World Trade Organization,Low & middle income,multilateral,39166530.0
West African Development Bank - BOAD,Low & middle income,multilateral,2838280334.0
United Kingdom,Low & middle income,commercial banks,29475009551.2
Russian Federation,Afghanistan,bilateral,849119000.0
Italy,Afghanistan,bilateral,22128570.0
Asian Dev. Bank   ,Afghanistan,multilateral,491072000.0
"Iran, Islamic Republic Of",Afghanistan,bilateral,9139000.0
OPEC Fund for International Dev.,Afghanistan,multilateral,1484000.0
World Bank-IDA                         ,Afghanistan,multilateral,279735000.0
Bulgaria,Afghanistan,bilateral,4201000.0
Islamic Dev. Bank,Afghanistan,multilateral,36104967.2
Saudi Arabia,Afghanistan,bilateral,79376533.4
Kuwait,Afghanistan,bilateral,22360772.9
West African Development Bank - BOAD,Africa (excluding high income),multilateral,2838280334.0
Norway,Africa (excluding high income),bilateral,74598962.9
Morocco,Africa (excluding high income),bilateral,7000000.0
Morocco,Africa (excluding high income),commercial banks,0.0
Multiple Lenders,Africa (excluding high income),bilateral,4151901000.0
Multiple Lenders,Africa (excluding high income),commercial banks,17562093544.2
Algeria,Africa (excluding high income),bilateral,768641377.3
Multiple Lenders,Africa (excluding high income),multilateral,171685000.0
Multiple Lenders,Africa (excluding high income),other private,2493897000.0
Brazil,Africa (excluding high income),commercial banks,120421000.0
Netherlands,Africa (excluding high income),other private,178304268.8
European Investment Bank,Africa (excluding high income),multilateral,11581801967.7
Nordic Investment Bank,Africa (excluding high income),multilateral,31829065.6
Bondholders,Africa (excluding high income),bonds,192799972775.9
Nordic Development Fund,Africa (excluding high income),multilateral,269626515.3
Nigeria,Africa (excluding high income),bilateral,11293290.3
Namibia,Africa (excluding high income),bilateral,1146769.0
New Development Bank (NDB),Africa (excluding high income),multilateral,3271954920.8
Netherlands,Africa (excluding high income),bilateral,191132299.1
Netherlands,Africa (excluding high income),commercial banks,1264971192.1
"Venezuela, Republic Bolivarian",Africa (excluding high income),bilateral,18749000.0
Brazil,Africa (excluding high income),bilateral,467058000.0
Arab Fund for Economic & Social Development,Africa (excluding high income),multilateral,6719146848.9
Angola,Africa (excluding high income),bilateral,400478000.0
Arab Bank for Economic Dev. in Africa (BADEA),Africa (excluding high income),commercial banks,0.0
Bahamas,Africa (excluding high income),commercial banks,750000.0
Saudi Arabia,Africa (excluding high income),bilateral,12031213239.6
Saudi Arabia,Africa (excluding high income),commercial banks,16560000.0
Arab Bank for Economic Dev. in Africa (BADEA),Africa (excluding high income),multilateral,2270352969.1
Saudi Arabia,Africa (excluding high income),other private,2500000.0
Senegal,Africa (excluding high income),bilateral,240.7
Serbia,Africa (excluding high income),bilateral,138328000.0
Serbia,Africa (excluding high income),commercial banks,1179000.0
Serbia,Africa (excluding high income),other private,26391214.9
South Africa,Africa (excluding high income),bilateral,600669489.3
South Africa,Africa (excluding high income),commercial banks,2714872558.4
South Africa,Africa (excluding high income),other private,6096000.0
Spain,Africa (excluding high income),bilateral,1136886196.8000002
Spain,Africa (excluding high income),commercial banks,1158780569.1
Spain,Africa (excluding high income),other private,47359687.400000006
Austria,Africa (excluding high income),other private,1419118.7
Bahrain,Africa (excluding high income),commercial banks,514350325.7
Benin,Africa (excluding high income),bilateral,68245.6
Bahrain,Africa (excluding high income),other private,0.0
Russian Federation,Africa (excluding high income),commercial banks,15514932.6
OPEC Fund for International Dev.,Africa (excluding high income),multilateral,2359828010.3
Mauritius,Africa (excluding high income),commercial banks,99434545.9
Org. of Arab Petroleum Exporting Countries (OAPEC),Africa (excluding high income),multilateral,7219000.0
Pakistan,Africa (excluding high income),bilateral,12189000.0
Panama,Africa (excluding high income),other private,0.0
Poland,Africa (excluding high income),bilateral,244116677.8
Poland,Africa (excluding high income),other private,6080000.0
Portugal,Africa (excluding high income),bilateral,979924530.1999999
Portugal,Africa (excluding high income),commercial banks,1002774676.6
Portugal,Africa (excluding high income),other private,32501899.2
Belgium,Africa (excluding high income),other private,29109209.299999997
Belgium,Africa (excluding high income),commercial banks,1062486210.2
Belgium,Africa (excluding high income),bilateral,513115693.4
Arab African International Bank,Africa (excluding high income),multilateral,31149000.0
Qatar,Africa (excluding high income),bilateral,91599500.0
Romania,Africa (excluding high income),bilateral,134839000.0
Russian Federation,Africa (excluding high income),bilateral,4478315084.3
Russian Federation,Africa (excluding high income),other private,252000.0
Oman,Africa (excluding high income),bilateral,89507000.0
Luxembourg,Africa (excluding high income),commercial banks,63826000.0
Mali,Africa (excluding high income),bilateral,53.8
Dev. Bank of the Central African States (BDEAC),Africa (excluding high income),multilateral,390085257.2
Greece,Africa (excluding high income),bilateral,2032000.0
Denmark,Africa (excluding high income),commercial banks,297105493.0
Denmark,Africa (excluding high income),bilateral,74191953.2
Greece,Africa (excluding high income),other private,446000.0
Hong Kong,Africa (excluding high income),commercial banks,310000000.0
Hong Kong,Africa (excluding high income),other private,304841000.0
"Germany, Fed. Rep. of",Africa (excluding high income),other private,199576845.6
Hungary,Africa (excluding high income),bilateral,740986027.2
Czechia,Africa (excluding high income),commercial banks,184822387.8
Czechia,Africa (excluding high income),bilateral,225362662.7
India,Africa (excluding high income),bilateral,4539743880.7
India,Africa (excluding high income),other private,19772264.900000002
Croatia,Africa (excluding high income),bilateral,39903000.0
International Bank for Economic Cooperation (IBEC),Africa (excluding high income),multilateral,0.0
"Cote D`Ivoire, Republic Of",Africa (excluding high income),other private,20000000.0
Hungary,Africa (excluding high income),other private,5783000.0
"Germany, Fed. Rep. of",Africa (excluding high income),commercial banks,4092827936.3
"Germany, Fed. Rep. of",Africa (excluding high income),bilateral,9304359796.2
Eastern & Southern African Trade & Dev. Bank (TDB),Africa (excluding high income),multilateral,2234218793.4
European Economic Community (EEC),Africa (excluding high income),multilateral,9314568.2
European Development Fund (EDF),Africa (excluding high income),multilateral,57301568.4
European Social Fund (ESF),Africa (excluding high income),multilateral,311670000.0
World Trade Organization,Africa (excluding high income),multilateral,39166530.0
European Union,Africa (excluding high income),multilateral,2181690000.0
Finland,Africa (excluding high income),bilateral,71470242.89999999
Finland,Africa (excluding high income),other private,5667000.0
World Bank-MIGA,Africa (excluding high income),multilateral,302270032.8
European Bank for Reconstruction and Dev. (EBRD),Africa (excluding high income),multilateral,2545629953.5
France,Africa (excluding high income),bilateral,15239669221.7
France,Africa (excluding high income),commercial banks,9433485480.699999
France,Africa (excluding high income),other private,682746010.4999999
Equatorial Guinea,Africa (excluding high income),bilateral,30092063.900000002
African Dev. Bank         ,Africa (excluding high income),multilateral,47102010713.1
Egypt,Africa (excluding high income),other private,76632000.0
Egypt,Africa (excluding high income),bilateral,187736000.0
Economic Community of West African States (ECOWAS),Africa (excluding high income),multilateral,755032372.6999999
"Cote D`Ivoire, Republic Of",Africa (excluding high income),commercial banks,622562134.9
Bulgaria,Africa (excluding high income),bilateral,79398000.0
"Cote D`Ivoire, Republic Of",Africa (excluding high income),bilateral,46722094.699999996
International Fund for Agricultural Dev.,Africa (excluding high income),multilateral,3911099352.4
Central Bank of West African States (BCEAO),Africa (excluding high income),multilateral,308906085.0
"Korea, Republic of",Africa (excluding high income),bilateral,2420677665.8
"Korea, Republic of",Africa (excluding high income),other private,5146859.2
Kuwait,Africa (excluding high income),bilateral,9479697969.9
Kuwait,Africa (excluding high income),commercial banks,329346831.4
Kuwait,Africa (excluding high income),other private,4023380.4
United Kingdom,Africa (excluding high income),bilateral,1023269196.8
Chad,Africa (excluding high income),bilateral,372.2
Liberia,Africa (excluding high income),commercial banks,807395.3
Canada,Africa (excluding high income),commercial banks,49996000.0
Canada,Africa (excluding high income),bilateral,677951914.2
Cameroon,Africa (excluding high income),bilateral,22626089.9
Austria,Africa (excluding high income),commercial banks,598193586.5
Luxembourg,Africa (excluding high income),other private,30763906.8
Malaysia,Africa (excluding high income),bilateral,0.0
World Bank-IBRD                         ,Africa (excluding high income),multilateral,40828886000.0
Libya,Africa (excluding high income),bilateral,1048526714.2
African Export-Import Bank,Africa (excluding high income),multilateral,10344541126.1
China,Africa (excluding high income),bilateral,62153310834.0
China,Africa (excluding high income),commercial banks,17378004175.1
"Congo, Rep.",Africa (excluding high income),bilateral,89167790.3
"Iran, Islamic Republic Of",Africa (excluding high income),bilateral,189508654.0
Iraq,Africa (excluding high income),bilateral,387374867.1
Ireland,Africa (excluding high income),bilateral,1643460.6
Ireland,Africa (excluding high income),commercial banks,697221000.0
Ireland,Africa (excluding high income),other private,32361471.6
Islamic Dev. Bank,Africa (excluding high income),multilateral,10454166157.199999
World Bank-IDA                         ,Africa (excluding high income),multilateral,110045093000.0
Israel,Africa (excluding high income),commercial banks,1482204606.9
Israel,Africa (excluding high income),other private,2731933000.0
Italy,Africa (excluding high income),bilateral,1682462838.9
Italy,Africa (excluding high income),commercial banks,1955663746.2
Italy,Africa (excluding high income),other private,81378228.7
Japan,Africa (excluding high income),bilateral,8317120725.6
Japan,Africa (excluding high income),commercial banks,1581943605.5
Japan,Africa (excluding high income),other private,195688000.3
China,Africa (excluding high income),other private,2686349000.0
International Finance Corporation,Africa (excluding high income),multilateral,254750000.0
Austria,Africa (excluding high income),bilateral,241778002.5
Africa Finance Corporation,Africa (excluding high income),commercial banks,1222875733.0
United Arab Emirates,Africa (excluding high income),commercial banks,4010476531.0
Turkiye,Africa (excluding high income),other private,0.0
Thailand,Africa (excluding high income),bilateral,1293000.0
Turkiye,Africa (excluding high income),bilateral,631942839.0
Sweden,Africa (excluding high income),bilateral,3405000.0
United States,Africa (excluding high income),bilateral,1161217978.2
Sweden,Africa (excluding high income),other private,89905019.7
Togo,Africa (excluding high income),commercial banks,46533412.7
Switzerland,Africa (excluding high income),commercial banks,2616769079.5
United Kingdom,Africa (excluding high income),other private,1114047930.0
Switzerland,Africa (excluding high income),bilateral,122406505.9
UN-General Assembly (UNGA),Africa (excluding high income),multilateral,3571000.0
Argentina,Africa (excluding high income),bilateral,10408000.0
Asian Infrastructure Investment Bank,Africa (excluding high income),multilateral,736214046.1
United States,Africa (excluding high income),commercial banks,5215252215.8
United Kingdom,Africa (excluding high income),commercial banks,12614336641.1
United States,Africa (excluding high income),other private,387803000.0
Arab Monetary Fund,Africa (excluding high income),multilateral,2138163904.2
Sweden,Africa (excluding high income),commercial banks,55643258.0
Tanzania,Africa (excluding high income),bilateral,35157000.0
Switzerland,Africa (excluding high income),other private,16252489.5
United Arab Emirates,Africa (excluding high income),bilateral,1871233868.6000001
United Arab Emirates,Africa (excluding high income),other private,19473926.2
Uganda,Africa (excluding high income),other private,681000.0
European Union,Albania,multilateral,187002000.0
Saudi Arabia,Albania,bilateral,44676266.7
United Kingdom,Albania,commercial banks,207780000.0
World Bank-IBRD                         ,Albania,multilateral,967091000.0
OPEC Fund for International Dev.,Albania,multilateral,32988000.0
Austria,Albania,commercial banks,21318228.0
China,Albania,bilateral,1858000.0
Greece,Albania,bilateral,122590.2
Japan,Albania,bilateral,40727737.0
Bondholders,Albania,bonds,1453254876.0
European Bank for Reconstruction and Dev. (EBRD),Albania,multilateral,234975038.2
European Investment Bank,Albania,multilateral,103237570.8
Austria,Albania,bilateral,5638110.3
Italy,Albania,other private,9411395.1
"Korea, Republic of",Albania,bilateral,9858435.4
Italy,Albania,commercial banks,97637899.8
Kuwait,Albania,bilateral,63468095.5
United Arab Emirates,Albania,bilateral,22499387.3
"Germany, Fed. Rep. of",Albania,commercial banks,1420176.3
"Germany, Fed. Rep. of",Albania,bilateral,351759073.2
International Fund for Agricultural Dev.,Albania,multilateral,20594894.0
Italy,Albania,bilateral,143478323.4
Spain,Albania,bilateral,6877000.0
France,Albania,bilateral,219041676.0
World Bank-IDA                         ,Albania,multilateral,338405000.0
Council of Europe,Albania,multilateral,109810528.2
Islamic Dev. Bank,Albania,multilateral,386808067.3
Japan,Algeria,bilateral,2821576.8
Canada,Algeria,bilateral,85595.0
Belgium,Algeria,bilateral,15446365.2
China,Algeria,bilateral,64137564.0
"Germany, Fed. Rep. of",Algeria,bilateral,38439.3
African Dev. Bank         ,Algeria,multilateral,717117549.5
Italy,Algeria,bilateral,31591910.1
Saudi Arabia,Algeria,bilateral,1093600.0
France,Algeria,bilateral,19218611.1
India,Angola,bilateral,2500000.0
Poland,Angola,bilateral,53583677.8
Luxembourg,Angola,other private,30763906.8
Japan,Angola,other private,195688000.3
United Kingdom,Angola,other private,143267000.0
China,Angola,bilateral,2596005403.6
China,Angola,commercial banks,11805826000.0
Portugal,Angola,other private,32501899.2
Portugal,Angola,commercial banks,511014132.0
Portugal,Angola,bilateral,251441000.0
United States,Angola,commercial banks,1643000.0
United States,Angola,bilateral,5467000.0
"Germany, Fed. Rep. of",Angola,commercial banks,656717517.2
Belgium,Angola,bilateral,0.0
"Korea, Republic of",Angola,bilateral,212779000.0
Belgium,Angola,commercial banks,48062000.0
Japan,Angola,bilateral,265015376.9
World Bank-IBRD                         ,Angola,multilateral,4491170000.0
African Dev. Bank         ,Angola,multilateral,1295689052.5
Egypt,Angola,other private,76550000.0
United Arab Emirates,Angola,commercial banks,227211585.6
Multiple Lenders,Angola,commercial banks,1580000000.0
International Fund for Agricultural Dev.,Angola,multilateral,7340973.8
Mauritius,Angola,commercial banks,21874039.5
World Bank-IDA                         ,Angola,multilateral,283421000.0
Spain,Angola,commercial banks,707782446.6
Spain,Angola,other private,0.0
Bondholders,Angola,bonds,11042413000.0
Canada,Angola,commercial banks,0.0
Canada,Angola,bilateral,244115000.0
European Investment Bank,Angola,multilateral,4196117.1
South Africa,Angola,commercial banks,3931000.0
South Africa,Angola,bilateral,197355626.2
Italy,Angola,bilateral,14961198.9
Ireland,Angola,commercial banks,657681000.0
Netherlands,Angola,bilateral,1684056.9
United Kingdom,Angola,commercial banks,3757069202.5
Spain,Angola,bilateral,15175000.0
Netherlands,Angola,commercial banks,620615788.1
Israel,Angola,other private,2731933000.0
OPEC Fund for International Dev.,Angola,multilateral,506000.0
France,Angola,commercial banks,232639301.3
Serbia,Angola,bilateral,7546000.0
African Export-Import Bank,Angola,multilateral,116254808.6
Italy,Angola,commercial banks,559164030.3
Austria,Angola,commercial banks,149829280.1
France,Angola,bilateral,249162503.7
"Germany, Fed. Rep. of",Argentina,commercial banks,22734248.7
United States,Argentina,bilateral,93583000.0
Japan,Argentina,bilateral,218455154.8
Spain,Argentina,bilateral,101298922.2
Spain,Argentina,commercial banks,104878897.4
Israel,Argentina,bilateral,518000.0
Italy,Argentina,bilateral,136923773.3
European Investment Bank,Argentina,multilateral,228971000.0
Australia,Argentina,commercial banks,0.0
Austria,Argentina,bilateral,8322627.9
China,Argentina,bilateral,5238433000.0
Switzerland,Argentina,bilateral,77059083.9
Netherlands,Argentina,bilateral,97430119.8
"Germany, Fed. Rep. of",Argentina,bilateral,417895447.2
Central American Bank for Econ. Integration (BCIE),Argentina,multilateral,736018000.0
Russian Federation,Argentina,other private,7816000.0
Brazil,Argentina,bilateral,26279000.0
Honduras,Argentina,commercial banks,22059000.0
Plata Basin Financial Dev. Fund,Argentina,multilateral,643729000.0
France,Argentina,bilateral,78370498.3
OPEC Fund for International Dev.,Argentina,multilateral,145968000.0
United Arab Emirates,Argentina,bilateral,65053778.1
Kuwait,Argentina,bilateral,95288196.1
Corporacion Andina de Fomento,Argentina,multilateral,4800426000.0
Finland,Argentina,commercial banks,1332000.0
Hong Kong,Argentina,commercial banks,9866000.0
International Fund for Agricultural Dev.,Argentina,multilateral,40440706.6
World Bank-IBRD                         ,Argentina,multilateral,10737718000.0
Denmark,Argentina,bilateral,1926000.0
Canada,Argentina,bilateral,26099000.0
Inter-American Dev. Bank      ,Argentina,multilateral,17572667000.0
Bondholders,Argentina,bonds,68693386526.9
Sweden,Argentina,bilateral,2324000.0
Belgium,Argentina,bilateral,1603022.7
